CPU,Memory,Disk,DiskType,InnoDB,Warehouse,Connections,TpmC,IdleL,IdleR,LoadUtl,RunUtl,Cost,Cost Performance Ratio,System,Platform,Region,Zone,Provider
1,3.75,10,0,128,5,50,3163,6.6,36.2,93.4,63.8,24.67,0.0078,A,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,128,5,50,3423,45.4,51.2,54.6,48.8,48.94,0.0143,B,GCP,Iowa,us-central1-a,Google
4,15,10,0,128,5,50,3447,70.5,62.3,29.5,37.7,97.49,0.0283,C,GCP,Iowa,us-central1-a,Google
16,60,10,0,128,5,50,3554,93.5,94.6,6.5,5.4,388.76,0.1094,F,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,128,20,100,1125,6.6,73.6,93.4,26.4,24.67,0.0219,A,GCP,Iowa,us-central1-a,Google
4,15,10,0,128,20,100,1168,71.9,84.7,28.1,15.3,97.49,0.0835,C,GCP,Iowa,us-central1-a,Google
4,15,80,0,128,5,10,3293,71.6,64.9,28.4,35.1,100.29,0.0305,C,GCP,Iowa,us-central1-a,Google
4,15,320,0,128,5,10,7585,71.1,35.9,28.9,64.1,109.61,0.0145,C,GCP,Iowa,us-central1-a,Google
1,3.75,20,0,128,5,10,3208,6.9,37.9,93.1,62.1,25.07,0.0078,A,GCP,Iowa,us-central1-a,Google
1,3.75,80,0,128,5,10,3162,7.8,38.3,92.2,61.7,27.47,0.0087,A,GCP,Iowa,us-central1-a,Google
1,3.75,100,0,128,5,10,3127,7.4,38.7,92.6,61.3,28.27,0.0090,A,GCP,Iowa,us-central1-a,Google
1,3.75,320,0,128,5,10,4377,7.2,7.7,92.8,92.3,37.07,0.0085,A,GCP,Iowa,us-central1-a,Google
1,3.75,250,0,128,5,10,4240,7.1,9.3,92.9,90.7,34.27,0.0081,A,GCP,Iowa,us-central1-a,Google
1,3.75,750,0,128,5,10,4712,7.0,3.2,93.0,96.8,54.27,0.0115,A,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,16,1,10,1506,6.8,67.9,93.2,32.1,24.67,0.0164,A,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,32,1,10,3397,7.2,38.7,92.8,61.3,24.67,0.0073,A,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,64,1,10,5134,7.6,5.6,92.4,94.4,24.67,0.0048,A,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,128,1,10,5334,7.7,2.2,92.3,97.8,24.67,0.0046,A,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,256,1,10,5611,6.9,1.8,93.1,98.2,24.67,0.0044,A,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,512,1,10,5630,7.3,2.0,92.7,98.0,24.67,0.0044,A,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,1024,1,10,5628,7.9,1.9,92.1,98.1,24.67,0.0044,A,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,16,1,10,1521,44.7,72.8,55.3,27.2,48.94,0.0322,B,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,32,1,10,3456,46.2,50.7,53.8,49.3,48.94,0.0142,B,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,64,1,10,6704,46.6,6.5,53.4,93.5,48.94,0.0073,B,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,128,1,10,7893,45.7,3.4,54.3,96.6,48.94,0.0062,B,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,256,1,10,7738,45.5,3.0,54.5,97.0,48.94,0.0063,B,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,512,1,10,7796,44.9,3.1,55.1,96.9,48.94,0.0063,B,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,1024,1,10,7757,45.3,3.3,54.7,96.7,48.94,0.0063,B,GCP,Iowa,us-central1-a,Google
4,15,10,0,16,1,10,1548,71.9,80.8,28.1,19.2,97.49,0.0630,C,GCP,Iowa,us-central1-a,Google
4,15,10,0,32,1,10,3602,71.1,63.2,28.9,36.8,97.49,0.0271,C,GCP,Iowa,us-central1-a,Google
4,15,10,0,64,1,10,10302,72.1,21.9,27.9,78.1,97.49,0.0095,C,GCP,Iowa,us-central1-a,Google
4,15,10,0,128,1,10,14100,71.1,14.8,28.9,85.2,97.49,0.0069,C,GCP,Iowa,us-central1-a,Google
4,15,10,0,256,1,10,14682,72.4,15.1,27.6,84.9,97.49,0.0066,C,GCP,Iowa,us-central1-a,Google
